Date,MSCI USA Index,MSCI USA Small Cap Index,MSCI USA Value Index,MSCI USA Growth Index,MSCI USA Small Cap Value Index,MSCI USA Quality Index,MSCI USA Minimum Volatility Index ,MSCI USA High Dividend Yield Index,MSCI USA Diversified Multiple-Factor Index
1999-05-31,"3798,118955","71,918038","5077,468776",1000,"2015,035886","628,828467","1024,328421","1048,689248","274,516956"
1999-06-30,"4002,862087","76,314637","5220,719392","1067,348638","2099,676832","667,340944","1042,859726","1077,208738","287,800342"
1999-07-30,"3872,099613","77,321806","5075,684224","1031,725856","2059,52326","650,056041","1018,789268","1042,779112","278,743436"
1999-08-31,"3848,476216","74,865183","4914,013262","1032,633547","1974,027061","657,341136","1001,574751","995,834721","269,228432"
1999-09-30,"3734,740943","74,664744","4689,282426","1017,916713","1940,089666","633,429091","966,140399","955,888976","259,875621"
1999-10-29,"3977,756327","74,011838","4952,431939","1084,341389","1908,087915","669,887838","1024,387039","991,901591","274,587301"
1999-11-30,"4064,081609","80,944165","4940,771216","1157,874208","1973,929613","690,728591","1021,688656","986,111199","291,892196"
1999-12-31,"4347,849845","92,679123","5043,436009","1282,741957","2067,84077","734,257254","1054,988576","953,71132","319,378149"
2000-01-31,"4113,878321","90,985882","4886,132795","1182,531653","1993,415202","689,293576","1015,891918","921,319771","292,153363"
2000-02-29,"4016,990079","112,351251","4568,389561","1171,30391","2041,152256","681,604846","965,004794","824,817739","292,594816"
2000-03-31,"4418,596643","101,893973","5047,056597","1280,344703","2128,552861","740,572301","1056,961464","925,153343","324,729601"
2000-04-28,"4274,863515","94,715937","5060,261392","1215,138146","2059,361944","717,79151","1049,337624","923,085174","313,223251"
2000-05-31,"4163,258876","90,424508","5073,466643","1175,905498","2002,622646","701,01018","1039,529526","939,86103","302,944522"
2000-06-30,"4261,813382","96,311111","4944,858015","1207,030406","2057,420547","746,767699","1032,85441","877,353123","308,218171"
2000-07-31,"4185,000115","94,222116","4986,97658","1202,684971","2090,65844","722,199016","1021,645798","875,815562","308,95295"
2000-08-31,"4404,203825","103,356443","5240,456825","1260,017368","2212,820515","750,884539","1074,744413","912,685062","333,611531"
2000-09-29,"4163,809392","103,004877","5211,361912","1242,710129","2175,704823","711,359189","1070,436319","954,142738","324,871235"
2000-10-31,"4133,470483","101,656005","5288,505637","1234,937315","2131,492246","724,934565","1085,103295","1010,085407","326,712083"
2000-11-30,"3808,30856","91,26082","4978,067339","1166,245387","2045,527572","682,117479","1050,363258","996,746383","305,641443"
2000-12-29,"3801,778294",100,"5184,207993","1169,10913","2234,397804","665,08963","1084,872902","1039,086192","312,580847"
2001-01-31,"3940,798586","105,114156","5281,552662","1184,428073","2469,61993","683,953702","1070,129265","1021,474609","316,592197"
2001-02-28,"3588,647479","100,800411","5020,57332","1069,084661","2372,551716","618,567355","1034,998224","1015,906238","292,206203"
2001-03-30,"3359,8722","98,058043","4821,674948","984,15544","2285,15728","575,29153","988,465736","989,407959","271,891733"
2001-04-30,"3621,650306","104,457419","5136,373379","1072,066667","2430,007827","614,230027","1042,816598","1019,67836","296,669865"
